id,name,dk_number,sb_number,type,material_main,material_sub,dating,dating_certainty,find_place,find_place_certainty,find_year,transliteration,transcription,translation_danish,translation_english,rune_typology,rune_typology_certainty,language_type,inscription_placement,images_count,url,dating_comment,find_circumstances,owner_institution,storage_location,condition,translation_comment,reading_comment,rune_height,script_arrangement,ornamented,separator_type,archaeological_period,other_number,title,images_urls,local_images_count,local_images_paths,literature_count,literature_refs
35,Egtved-stenSJy 6,SJy 6,345,Runesten,Sten,Granit,900-1020,Nogenlunde Sikker,170601: Egtved,Sikker,1863,...at : fai(n) [:] (t)u : i suiu : raist | ...uþiR : aft : bruþur | stain : sasi : skarni :,,"... Fáinn (""den malede""), (som) døde i Svia(?). Ristede ... broder til minde om broder. Denne sten...","... (the) Coloured, (who) died in Svia(?). Cut ... brother in memory of brother. This stone ...","Vikingetid (V), Vikingetid (V)",Nogenlunde Sikker,Olddansk,På stenens ene bredside,3,https://runer.ku.dk/q.php?p=runer/genstande/genstand/35,Rune- og sprogtypologisk datering,"Murermester Anders Nielsen fra Starup opdagede stenen, som sad i det sydlige kirkegårdsdige.",Kirken (menighedsrådet),Egtved kirkes våbenhus.,Stenen er et fragment.,"Lis Jacobsen har i en artikel (Jacobsen 1935: 185-94) diskuteret mulighederne og leveret et meget dristigt rekonstruktionsforsøg, som ikke blev fulgt i Danmarks Runeindskrifter 1941-42. Med formuleringen ""brōðiR æft brōður"" og ""stæinn sāsi"" giver stenen mindelser om andre ""kampfælle""indskrifter som *Hällestad-stenene, DK Sk 81-83, og *Sjörup-stenen; DK Sk 51.",,"9,5-20 cm","*Parallelordning, hvor tekstlinjerne læses i *bustrofedon.",No,"To vertikale streger, To punkter",Vikingetid,,Egtved-sten,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/35/rune02b_009.jpg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/35/Egtved-lille.jpg,3,runer_ku_images\35_0.jpg; runer_ku_images\35_1.jpg; runer_ku_images\35_2.jpg,0,
746,Egvad-tømrerrunerSJy 22,SJy 22,,Tømrerruner,Træ,Ubestemt,1175-1225,Nogenlunde Sikker,180601: Egvad,Sikker,1953,uþorkh,,fuþorkhniastbmly,fuþorkhniastbmly,Middelalder (M),Sikker,Andet,På de enkelte tagspær.,1,https://runer.ku.dk/q.php?p=runer/genstande/genstand/746,Arkæologisk datering.,Fundet i kirkens tagkonstruktion.,Kirken (menighedsrådet),In situ.,,,,,,No,Ingen skilletegn,Højmiddelalder,EM85;522,Egvad-tømrerruner,https://cms.ku.dk/bootstrap/images/branding/faelles.svg,1,runer_ku_images\746_0.jpg,0,
102,Egå-stenMJy 67,MJy 67,,Runesten,Sten,Granit,970-1020,Nogenlunde Sikker,141102: Egå,Sikker,1814 og 1839,alfkil : uk : hns : suniR : risþu : stin : þansi : ift : | : mana : sin : frinta : þans : uas : lantirþi : kitils : þis : | nuruna :,,"Alfkel og hans sønner rejste denne sten efter deres frænde Manne, som var *""landbestyrer"" hos Keld den norske.","Alfkell and his sons raised this stone in memory of Manni, their kinsman, who was Ketill the Norwegian's estate-steward.","Vikingetid (V), Vikingetid (V)",Sikker,Olddansk,På runestenens ene bredside.,2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/102,"Relativ datering. Konturordning, kors, rune- og sprogtypologi.","På en rejse i Jylland fandt *Vedel Simonsen stenen stående i et stengærde i landsbyen. Her havde den efter sigende fået plads efter at være udgravet af en høj eller bakke, Brobjergbakke, ved Gl. Egå Bro. Toppen af stenen blev fundet i samme stengærde i 1839.",Nationalmuseet,Nationalmuseets runehal.,"Runestenen er velbevaret, skønt toppen af stenen har været brækket af og først blev fundet 25 år senere end resten.","Tillægsordet 'norrøn' betyder egentlig ""nordisk"", men har ofte den snævrere betydning ""norsk"".",,"7,5-20 cm",Dobbelt *konturordning i parallelt forløbende linjer. Indskriften begynder i stenens nederste venstre hjørne.,Yes,"Enkelt punkt, Et kryds, To punkter",Yngre vikingetid,,Egå-sten,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/102/280610AM_LE21-LILLE.jpg,2,runer_ku_images\102_0.jpg; runer_ku_images\102_1.jpg,0,
448,Ejby-brakteatSj IK 238,Sj IK 238,,Brakteat,Metal,Guld,450-540,Nogenlunde Sikker,020103: Ejby,Sikker,"1868, indleveret",-k,,...,...,Ubestemt,Sikker,Utolket,"Indskriften er placeret med rammelinier til venstre ved motivet rand, over dyrets hoved, venstre for svastikaet.",3,https://runer.ku.dk/q.php?p=runer/genstande/genstand/448,,Brakteaten tilhører et depot fundet ved udgravningen af en drængrøft i en forhenværende mose i 1868. Fundet sammen med et gennembrudt halssmykke af guld.,Nationalmuseet,,God stand; stedvis bulet med en smudset presning,"Illustration: IK
Foto: Kit Weiss",,,,Yes,Ingen skilletegn,Ældre germansk jernalder,,Ejby-brakteat,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/448/Ejby 238.jpg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/448/1Ejby_Kit Weiss.jpg,3,runer_ku_images\448_0.jpg; runer_ku_images\448_1.jpg; runer_ku_images\448_2.jpg,0,
50,Ejsing-amuletstenSJy 17,SJy 17,,Amulet,Sten,Sandsten,1050-1536,Sikker,180201: Ejsing,Sikker,1901,Side A æ=dm(e)s Side B ----æ Side C -ct Side D -hf(s),,Uden sproglig mening.,...,Ubestemt,Sikker,Utolket,På fire af stenens sider.,5,https://runer.ku.dk/q.php?p=runer/genstande/genstand/50,,Fundet på en høj ved Ejsing.,Nationalmuseet,,,"Runerne bestemmes i DR som ""karakterer"" med henvisning til DR spalte 835 f. Hermed sigtes til løsrevne runetegn anvendt i middelalderlig - og eftermiddelalderlig sortekunst.","æ = gennemstreget a-rune, t-runen ensidig. tvivlsom e-rune med ring. I så fald en sen runeform. c-runen ensidig med flad afslutning.",,,Yes,Ingen skilletegn,Middelalder,,Ejsing-amuletsten,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/50/rune02b_025.jpg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/50/rune02b_026.jpg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/50/rune02b_027.jpg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/50/rune02b_028.jpg,5,runer_ku_images\50_0.jpg; runer_ku_images\50_1.jpg; runer_ku_images\50_2.jpg; runer_ku_images\50_3.jpg; runer_ku_images\50_4.jpg,0,
14088,Ejstrup-fingerringMJy 104,MJy 104,204,Fingerring,Metal,Sølv,1200-1300,Nogenlunde Sikker,130911: Skals,Sikker,2018,elsemuikmitlitþ | {+VGAM(T)ML-(T)G | +GVTTATE(R)LEGVT},,Utolket.,...,Middelalder (M),Sikker,Utolket,Runeindskriften er placeret på ringens inderside. Der er majuskler på ydersiden.,4,https://runer.ku.dk/q.php?p=runer/genstande/genstand/14088,"Datering følger Gørding-ringens (Lindahl 2003:84), hvis dateringsgrundlag er de romanske majuskler brugt på ringens yderside. Ejstrup-fingerringens yderside er præget med lignende romanske majuskler.","Metaldetektorfund fra området lidt nord for Ejstrup. På lokaliteten er med metaldetektor fundet genstande fra både bronzealder, førromersk jernalder, yngre germansk jernalder, vikingetid og middelalder, men det er usikkert, hvor meget bopladsaktivitet der har været på det eksakte fundsted.",Nationalmuseet,Nationalmuseet.,"Genstanden er knækket, og indskrifterne har taget skade ved bruddet. Begge bruddele er bevaret.",,Bruddet på ringen har primært berørt læsningen af majuskelindskriften på ringens yderside.,4 mm.,,No,Ingen skilletegn,Højmiddelalder,,Ejstrup-fingerring,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/14088/D96b.jpg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/14088/D96c_1.jpg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/14088/D96d_1.jpg,4,runer_ku_images\14088_0.jpg; runer_ku_images\14088_1.jpg; runer_ku_images\14088_2.jpg; runer_ku_images\14088_3.jpg,0,
146,Elsø-gravstenNJy 37,NJy 37,,Gravsten,Andet,Ubestemt,1300-1550,Nogenlunde Sikker,110502: Elsø,Sikker,1769,thru:iþt :,,Thruit (?),Þorgautr (?),Middelalder (M),Sikker,Gammeldansk,"På fragmentets ene side, oprindelig fodenden af ligstenen.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/146,Sprog- og runetypologisk datering.,Stenen har været forsvundet og er siden genfundet i kirken i 1869. Overført til Nationalmuseet i 1875.,Nationalmuseet,Nationalmuseet.,Stenen er et fragment af en enten rektangulær eller trapezformet gravsten.,"Tolkningen er lidt usikker (men sammenlign med DgP 1941-48, spalte 1432). Brugen af th for þ og þt for d er sene ortografiske træk.",,Ca. 18 cm,Fra venstre mod højre.,No,To punkter,Middelalder el. renæssance,,Elsø-gravsten,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/146/rune02b_031.jpg,2,runer_ku_images\146_0.jpg; runer_ku_images\146_1.jpg,0,
747,Eltang-kalkristningSJy 2,SJy 2,,Kalkristning,Andet,Kalkpuds,1100-1536,Nogenlunde Sikker,170202: Eltang,Sikker,1967,...kiri-(s)o,,Utolket.,...,Middelalder (M),Sikker,Utolket,"Indskriften befandt sig ca. 1 meter over gulvet, på skibets nordvæg.",2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/747,"Det er ikke bemærket i hvilket pudslag indskriften er ristet, så indskriften kan ikke dateres nærmere.",Indskriften blev fundet ved istandsættelse af kirken.,Kirken (menighedsrådet),"Kalkpudsstykket (ca. 20 x 40 cm) med indskriften blev trukket af væggen og forsøgt konserveret, men er siden gået tabt.",Tabt.,,,,Lineær.,No,Ingen skilletegn,Middelalder,EM85;523A,Eltang-kalkristning,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/747/rune02b_033.jpg,2,runer_ku_images\747_0.jpg; runer_ku_images\747_1.jpg,0,
33,Eltang-stenSJy 1,SJy 1,7,Runesten,Sten,Granit,1000-1200,Usikker,170202: Eltang,Sikker,1866,i--iæþik--,,Utolket.,...,Middelalder (M),Sikker,Utolket,På stenens bredside.,2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/33,Sprog- og runetypologisk datering.,Fundet på dyrket mark nær Nørre Stenderup. Stenen er siden overdraget til Nationalmuseet.,Nationalmuseet,Nationalmuseet.,Stenen er et fragment.,,,12-18 cm,Fra venstre mod højre.,No,Ingen skilletegn,Vikingetid el. ældre middelalder,,Eltang-sten,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/33/rune02b_036.jpg,2,runer_ku_images\33_0.jpg; runer_ku_images\33_1.jpg,0,
251,Esbønderup-kvaderstenSj 1,Sj 1,,Bygningssten,Sten,Sandsten,1100-1200,Sikker,010103: Esbønderup,Sikker,1894,mæ/æy,,Næppe sprogligt meningsgivende.,,Ubestemt,Sikker,Utolket,På stenens ydre synlige side.,2,https://runer.ku.dk/q.php?p=runer/genstande/genstand/251,Kirkens kor er bygget af skånsk sandsten i 1100-tallet.,Stenen blev opdaget udvendigt i kirkens nordlige kormur.,Kirken (menighedsrådet),In situ.,,,,,,No,Ingen skilletegn,Ældre middelalder,,Esbønderup-kvadersten,https://cms.ku.dk/bootstrap/images/branding/faelles.svg; https://runer.ku.dk/projects/runer/RunerKUdk_userfiles/image/ImgCache/251/esbønderup.jpg,2,runer_ku_images\251_0.jpg; runer_ku_images\251_1.jpg,0,
