stone_id,name,runic,transliteration,translation,page_url,image_url,image_filename
U 286,"U 286 - Uppland: Tryninge, Hammarby",,× hu... uk × kiluk × litu × raisa × stain × eftiR × o(l)... ...,Holmlög [?] och Gillög lät resa stenen efter Oleif,https://www.christerhamp.se/runor/gamla/u1/u286.html,https://www.christerhamp.se/runor/gamla/u1/u286s.jpg,1060_U_286_U_286___Uppland__Tryninge__Hammarby.jpg
U 287,U 287 - Uppland: Vik,,giulakr lit raisa stain eftiR sun ' sin ' ingifast ' auk ' inguaR ' (u)(k) ' at ' broþur ' sin ' in ' ybiR [ri]sti ' runa,"Gjulak (?) lät resa stenen efter sin son Ingefast, och Ingvar också åt sin broder, och Öpir ristade runorna",https://www.christerhamp.se/runor/gamla/u1/u287.html,https://www.christerhamp.se/runor/gamla/u1/u287s.jpg,1061_U_287_U_287___Uppland__Vik.jpg
U 288,U 288 - Uppland: Vik,,olafr ' uk ' kunilr ' litu ' raisa ' stain ' eftR ÷ kuna ' sun ' sin ' uk ' ketil ' lit ÷ eftiR ÷ broþur ' sin ' ybir ' risti ' runa,"Olov och Gunnhild lät resa stenen efter Gunne, sin son, och Kättil lät [resa stenen] efter sin broder. Öpir ristade runorna",https://www.christerhamp.se/runor/gamla/u1/u288.html,https://www.christerhamp.se/runor/gamla/u1/u288s.jpg,1062_U_288_U_288___Uppland__Vik.jpg
U 289,U 289 - Uppland: Vik,,...r × auk hulm[fastr × litu × risa stina × iftiR ×] (h)ulmkiR × faþur × sin trink hifan,"... och Holmfast lät resa stenarna efter Holmger, sin fader, en duglig man",https://www.christerhamp.se/runor/gamla/u1/u289.html,https://www.christerhamp.se/runor/gamla/u1/u289s.jpg,1063_U_289_U_289___Uppland__Vik.jpg
U 291,"U 291 - Uppland: Vik, Hammarby",,ri---,-,https://www.christerhamp.se/runor/gamla/u1/u291.html,https://www.christerhamp.se/runor/gamla/u1/u291s.jpg,1064_U_291_U_291___Uppland__Vik__Hammarby.jpg
U 292,"U 292 - Uppland: Stora Vilunda, Hammarby",,...kaþfari ' litu ' rai-... ... ...luha ' faþur ...,"... -far lät resa ... -luge, fader ...",https://www.christerhamp.se/runor/gamla/u1/u292.html,https://www.christerhamp.se/runor/gamla/u1/u292s.jpg,1065_U_292_U_292___Uppland__Stora_Vilunda__Hammarby.jpg
U 293,U 293 - Uppland: Lilla Vilunda,,' forkuþr × auk ' þurir × lata ' reisa ' steina ' þisa ' eftR ' faþur sn ' ketil ' koþ hi-lbi + ant ' hns ',Forkunn och Tore låter resa dessa stenar efter sin fader Kättil. Gud hjälpe hans ande,https://www.christerhamp.se/runor/gamla/u1/u293.html,https://www.christerhamp.se/runor/gamla/u1/u293s.jpg,1066_U_293_U_293___Uppland__Lilla_Vilunda.jpg
U 294,"U 294 - Uppland: Lilla Vilunda, Hammarby socken",,kuþrlauk * lit * stain hkua iftiR * forkun bonta * sin auk kitelfR,"Gudlög lät hugga stenen efter Forkunn, sin make, och Kättilälv [lät också hugga]",https://www.christerhamp.se/runor/gamla/u1/u294.html,https://www.christerhamp.se/runor/gamla/u1/u294s.jpg,1067_U_294_U_294___Uppland__Lilla_Vilunda__Hammarby_socken.jpg
U 295,U 295 - Uppland: Skånela kyrka,,u(i)faiR * li[t] * stain * h[ku](a) -f... ...su sun sin fa--lauk lit stain hkua ift(R) b-o(þ)ur sin fuluka,"Viger lät hugga stenen efter ... , sin son. Fastlög lät hugga stenen efter sin broder Fulluge",https://www.christerhamp.se/runor/gamla/u1/u295.html,https://www.christerhamp.se/runor/gamla/u1/u295s.jpg,1068_U_295_U_295___Uppland__Skånela_kyrka.jpg
U 296,U 296 - Uppland: Skånela kyrka,,inkiualtr ' ok ' kislauh ' litu ' hkua ' staina ' eftr ' inkimunt ' sun sin,"Ingevald och Gislög lät hugga stenarna efter Ingemund, sin son",https://www.christerhamp.se/runor/gamla/u1/u296.html,https://www.christerhamp.se/runor/gamla/u1/u296s.jpg,1069_U_296_U_296___Uppland__Skånela_kyrka.jpg
U 297,U 297 - Uppland: Skånela kyrka,,× iubiarn × raisti × staina × eftiR × sybiarn * faþur sin ×,Jobjörn reste stenarna efter Sigbjörn sin fader,https://www.christerhamp.se/runor/gamla/u1/u297.html,https://www.christerhamp.se/runor/gamla/u1/u297s.jpg,1070_U_297_U_297___Uppland__Skånela_kyrka.jpg
U 299,U 299 - Uppland: Skånela kyrka,,,,https://www.christerhamp.se/runor/gamla/u1/u299.html,https://www.christerhamp.se/runor/gamla/u1/u299.jpg,1071_U_299_U_299___Uppland__Skånela_kyrka.jpg
U 302,U 302 - Uppland: Skånela kyrka,,-----ui * uk * ikriþr ... * ris*a * stin * þina * ift... ...(r) þiR * i * s--... ... ... ...a(l)u * uk * kuþs * mþiR,Kättilvi och Ingrid [lät] resa denna sten efter ... [Gud hjälpe deras] själ och Guds moder,https://www.christerhamp.se/runor/gamla/u1/u302.html,https://www.christerhamp.se/runor/gamla/u1/u302s.jpg,1072_U_302_U_302___Uppland__Skånela_kyrka.jpg
U 304,"U 304 - Uppland: Bensta, Skånela",,fuluki * lit * hkua * stain * auk þaiR * hukR * baþiR bry[þr * e]fti(R) * mana * faþur sin,"Fulluge lät hugga stenen tillsammans med Hök, båda bröderna, efter Manne, sin fader",https://www.christerhamp.se/runor/gamla/u1/u304.html,https://www.christerhamp.se/runor/gamla/u1/u304s.jpg,1073_U_304_U_304___Uppland__Bensta__Skånela.jpg
U 305,U 305 - Uppland: Bensta,,askala lit hiua stain iftiR fuluka auk iluki auk sikni,Åskatla lät hugga stenen efter Fulluge och Illuge och Signy,https://www.christerhamp.se/runor/gamla/u1/u305.html,https://www.christerhamp.se/runor/gamla/u1/u305s.jpg,1074_U_305_U_305___Uppland__Bensta.jpg
U 306,"U 306 - Uppland: Dal, Skånela",,ikriþ * lit * hkua * stain * eftiR * iubiarn * auk * ikimar * aui * ikiuatr * auk * karl * auk ikriþr,"Ingrid lät hugga stenen efter Jobjörn, och Ingemar och Ingevald och Karl [ lät också hugga ]",https://www.christerhamp.se/runor/gamla/u1/u306.html,https://www.christerhamp.se/runor/gamla/u1/u306s.jpg,1075_U_306_U_306___Uppland__Dal__Skånela.jpg
U 307,"U 307 - Uppland: Ekeby, Skånela",,iaruntr uk iarl ' (þ)--- ...uniR * ikimar ÷ uk * ketilyaR * litu kiara mi[r]ki * [i]f(t)iR inkuar * broþur * sin in ' ybiR ' risti,"Jorund och Jarl, söner till Ingmar och Kättilö, lät göra minnesmärket efter Ingvar, sin broder. Öpir ristade.",https://www.christerhamp.se/runor/gamla/u1/u307.html,https://www.christerhamp.se/runor/gamla/u1/u307.jpg,1076_U_307_U_307___Uppland__Ekeby__Skånela.jpg
U 308,"U 308 - Uppland: Ekeby, Skånela",,kuni lit rista runaR þisar eftR sik * kuikhan þurhkutr * risti runa þisar fots arfi,"Gunne lät rista dessa runor efter sig medan han ännu levde. Torgöt ristade dessa runor, Fots arvinge.",https://www.christerhamp.se/runor/gamla/u1/u308.html,https://www.christerhamp.se/runor/gamla/u1/u308.jpg,1077_U_308_U_308___Uppland__Ekeby__Skånela.jpg
U 309,"U 309 - Uppland: Harg, Skånela",,× sikuiþr × auk × in[kua]r × auk × iarlabanki × litu × rista × runaR × at inkuar × faþur × sin × auk × at raknualt × broþur sin +,"Sigvid och Ingvar och Jarlabanke lät rista runorna efter Ingvar, sin far, och efter Ragnvald, sin bror",https://www.christerhamp.se/runor/gamla/u1/u309.html,https://www.christerhamp.se/runor/gamla/u1/u309s.jpg,1078_U_309_U_309___Uppland__Harg__Skånela.jpg
u 310,"u 310 - Uppland: Harg, Skånela",,× estriþ × lit × bro × kiara × eftiR × ikuar × bonta × sin × auk × at raknualt × sun × hans ×,"Estrid lät göra bron efter Ingvar, sin man, och efter Ragnvald, hans son",https://www.christerhamp.se/runor/gamla/u1/u310.html,https://www.christerhamp.se/runor/gamla/u1/u310.jpg,1079_u_310_u_310___Uppland__Harg__Skånela.jpg
U 311,"U 311 - Uppland: Harg, Skånela",,inkriþ ' lit ' kiara ' bro ' iftiR * inkikiari ' totur ' sin inkihualtr ' inkimar ' karl ' litu ' at ' systur s'i[n],"Ingrid lät göra bron efter Ingegärd, sin dotter. Ingevald, Ingemar och Karl lät [ göra bron ] efter sin syster",https://www.christerhamp.se/runor/gamla/u1/u311.html,https://www.christerhamp.se/runor/gamla/u1/u311.jpg,1080_U_311_U_311___Uppland__Harg__Skånela.jpg
